cluster,metID
1,pma0101
1,pma2172
1,pmb0163
1,pmb0325
1,pmb0493
1,pmb0496
1,pmb0504
1,pmb0771
1,pmb0848
1,pmb0852
1,pmb0863
1,pmb0864
1,pmb0874
1,pmb0964
1,pmb1626
1,pmb1652
1,pmb2211
1,pmb2319
1,pmb2383
1,pmb2406
1,pmb2497
1,pmb2799
1,pmb2873
1,pmb3107
1,pmd0146
1,pmd0158
1,pme0250
1,pme0256
1,pme0413
1,pme0486
1,pme1173
1,pme1424
1,pme1830
1,pme2380
1,pme2566
1,pme2903
1,pme2914
1,pme3096
1,pme3472
1,pme3983
1,pmf0089
1,pmf0251
1,pmf0280
1,pmf0282
1,pmf0289
1,pmf0299
1,pmf0323
1,pmf0330
1,pmf0334
1,pmf0337
1,pmf0342
1,pmf0351
1,pmf0355
1,pmf0358
1,pmf0362
1,pmf0365
1,pmf0374
1,pmf0379
1,pmf0418
1,pmf0422
1,pmf0438
1,pmf0439
1,pmf0450
1,pmf0452
1,pmf0467
1,pmf0486
1,pmf0497
4,pma6599
4,pmb0115
4,pmb0142
4,pmb0302
4,pmb0812
4,pmb0885
4,pmb1318
4,pmb1587
4,pmb2643
4,pmb2654
4,pmb3058
4,pmb3066
4,pmc0281
4,pme0025
4,pme0233
4,pme0324
4,pme0500
4,pme0516
4,pme0543
4,pme1310
4,pme1566
4,pme1588
4,pme1738
4,pme1846
4,pme2125
4,pme2237
4,pme2639
4,pme3083
4,pme3211
4,pme3416
4,pmf0132
4,pmf0265
4,pmf0266
4,pmf0296
4,pmf0302
4,pmf0307
4,pmf0328
4,pmf0332
4,pmf0352
4,pmf0390
4,pmf0397
4,pmf0398
4,pmf0405
4,pmf0408
4,pmf0409
4,pmf0412
4,pmf0419
4,pmf0426
4,pmf0436
4,pmf0446
4,pmf0518
7,pma0825
7,pma3649
7,pmb2640
7,pmb2653
7,pmb2792
7,pmb2855
7,pmc0274
7,pme0004
7,pme0162
7,pme0248
7,pme0274
7,pme0291
7,pme0388
7,pme1070
7,pme1086
7,pme2165
7,pme2433
7,pme2527
7,pme2634
7,pme3011
7,pme3033
7,pme3179
7,pme3200
7,pme3382
7,pme3478
7,pmf0178
7,pmf0245
7,pmf0247
7,pmf0253
7,pmf0256
7,pmf0257
7,pmf0258
7,pmf0260
7,pmf0273
7,pmf0277
7,pmf0278
7,pmf0283
7,pmf0293
7,pmf0294
7,pmf0297
7,pmf0298
7,pmf0305
7,pmf0311
7,pmf0321
7,pmf0361
7,pmf0376
7,pmf0428
7,pmf0460
7,pmf0470
7,pmf0480
7,pmf0481
7,pmf0505
7,pmf0514
10,pma1303
10,pma6561
10,pmb0374
10,pmb0478
10,pmb0706
10,pmb0818
10,pmb0981
10,pmb2723
10,pmb2826
10,pmb2857
10,pmb3026
10,pme0013
10,pme0108
10,pme0113
10,pme0137
10,pme0163
10,pme0171
10,pme0199
10,pme0264
10,pme0279
10,pme0281
10,pme0282
10,pme0330
10,pme0341
10,pme0363
10,pme0371
10,pme0442
10,pme1201
10,pme1242
10,pme1346
10,pme1580
10,pme1599
10,pme1611
10,pme1665
10,pme1987
10,pme2050
10,pme2362
10,pme2435
10,pme2529
10,pme2617
10,pme2735
10,pme2801
10,pme2957
10,pme2973
10,pme2982
10,pme2996
10,pme3009
10,pme3037
10,pme3081
10,pme3104
10,pme3188
10,pme3256
10,pme3267
10,pme3333
10,pme3346
10,pme3461
10,pme3705
10,pme3965
10,pmf0058
10,pmf0130
10,pmf0133
10,pmf0134
10,pmf0137
10,pmf0144
10,pmf0150
10,pmf0233
10,pmf0240
10,pmf0263
10,pmf0268
10,pmf0269
10,pmf0272
10,pmf0276
10,pmf0281
10,pmf0284
10,pmf0285
10,pmf0286
10,pmf0290
10,pmf0292
10,pmf0301
10,pmf0320
10,pmf0325
10,pmf0335
10,pmf0340
10,pmf0343
10,pmf0346
10,pmf0347
10,pmf0348
10,pmf0350
10,pmf0356
10,pmf0357
10,pmf0359
10,pmf0360
10,pmf0364
10,pmf0367
10,pmf0372
10,pmf0375
10,pmf0383
10,pmf0384
10,pmf0385
10,pmf0386
10,pmf0388
10,pmf0391
10,pmf0393
10,pmf0400
10,pmf0407
10,pmf0410
10,pmf0411
10,pmf0417
10,pmf0423
10,pmf0431
10,pmf0435
10,pmf0441
10,pmf0447
10,pmf0448
10,pmf0449
10,pmf0451
10,pmf0455
10,pmf0458
10,pmf0459
10,pmf0473
10,pmf0475
10,pmf0484
10,pmf0485
10,pmf0489
10,pmf0498
10,pmf0499
10,pmf0500
10,pmf0502
10,pmf0503
10,pmf0506
10,pmf0512
10,pmf0516
